,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,612.0,699.0,1038.0,1566.0,2131.0,2676.0,3185.0,3546.0,4449.0
Expenses,,450.0,499.0,795.0,1125.0,1571.0,1980.0,2282.0,2579.0,3368.0
Operating Profit,,162.0,200.0,243.0,441.0,560.0,696.0,902.0,967.0,1081.0
OPM %,,26.0,29.0,23.0,28.0,26.0,26.0,28.0,27.0,24.0
Other Income,,3.0,76.0,237.0,-12.0,32.0,8.0,15.0,116.0,72.0
Interest,,19.0,18.0,26.0,33.0,18.0,17.0,26.0,30.0,23.0
Depreciation,,23.0,31.0,67.0,97.0,142.0,178.0,220.0,254.0,288.0
Profit before tax,,122.0,228.0,387.0,300.0,432.0,509.0,671.0,798.0,842.0
Tax %,,37.0,24.0,7.0,28.0,16.0,22.0,23.0,25.0,25.0
Net Profit,,78.0,173.0,360.0,215.0,362.0,395.0,518.0,600.0,629.0
EPS in Rs,,27.93,62.4,76.42,3.76,6.19,6.75,8.82,9.67,10.29
Dividend Payout %,,0.0,0.0,55.0,504.0,25.0,42.0,35.0,33.0,33.0
Sales Growth %,Sales,,14.29,48.45,50.9,36.03,25.58,19.03,11.34,25.48
Exceptional items,Other Income,-0.0,-0.0,233.0,-14.0,12.0,4.0,1.0,21.0,-51.0
Other income normal,Other Income,3.0,77.0,4.0,2.0,20.0,4.0,14.0,95.0,123.0
