,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,8118.0,8788.0,5249.0,8136.0,12418.0,6441.0,7351.0,8177.0
Expenses,,7525.0,7528.0,4666.0,6998.0,10860.0,6033.0,6653.0,7520.0
Operating Profit,,593.0,1259.0,583.0,1138.0,1557.0,408.0,699.0,657.0
OPM %,,7.0,14.0,11.0,14.0,13.0,6.0,10.0,8.0
Other Income,,63.0,63.0,73.0,103.0,123.0,319.0,525.0,270.0
Interest,,225.0,469.0,530.0,389.0,536.0,588.0,608.0,516.0
Depreciation,,282.0,885.0,963.0,997.0,1227.0,1017.0,1166.0,1339.0
Profit before tax,,149.0,-33.0,-838.0,-145.0,-82.0,-877.0,-550.0,-928.0
Tax %,,-115.0,402.0,-12.0,-18.0,-28.0,-16.0,-17.0,-11.0
Net Profit,,321.0,-165.0,-736.0,-118.0,-59.0,-736.0,-456.0,-830.0
EPS in Rs,,3.72,-1.89,-7.93,-1.16,-0.38,-6.19,-3.08,-6.36
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,8.26,-40.27,55.01,52.62,-48.13,14.13,11.23
Material Cost %,Expenses,48.35,48.07,48.83,45.72,44.71,48.03,43.22,42.4
Manufacturing Cost %,Expenses,4.52,4.72,5.69,4.98,5.07,7.69,9.41,0.0
Employee Cost %,Expenses,11.25,12.16,16.5,14.25,12.6,15.63,15.55,15.54
Other Cost %,Expenses,28.57,20.72,17.88,21.06,25.08,22.31,22.32,34.02
Exceptional items,Other Income,1.0,2.0,3.0,35.0,43.0,237.0,431.0,-40.0
Other income normal,Other Income,63.0,60.0,70.0,68.0,80.0,82.0,95.0,310.0
Minority share,Net Profit,0.0,2.0,63.0,10.0,23.0,108.0,80.0,54.0
Exceptional items AT,Net Profit,1.0,2.0,3.0,35.0,43.0,66.0,262.0,-38.0
Profit excl Excep,Net Profit,320.0,-167.0,-739.0,-153.0,-102.0,-802.0,-718.0,-792.0
Profit for PE,Net Profit,320.0,-165.0,-675.0,-141.0,-62.0,-684.0,-592.0,-740.0
Profit for EPS,Net Profit,321.0,-163.0,-673.0,-109.0,-36.0,-628.0,-376.0,-776.0
Profit Growth %,Net Profit,,-152.0,-309.0,79.0,56.0,-1004.0,13.0,-25.0
