,parent_line_item,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,Jun 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,172.0,279.0,248.0,237.0,134.0,225.0,443.0,462.0,463.0,509.0,328.0,607.0
Cash from Investing Activity,,-103.0,155.0,14.0,-77.0,-65.0,-29.0,-79.0,-112.0,-67.0,-49.0,-27.0,-16.0
Cash from Financing Activity,,-58.0,-79.0,-684.0,-39.0,-165.0,-105.0,-430.0,-225.0,-231.0,-440.0,-358.0,-740.0
Net Cash Flow,,12.0,356.0,-422.0,121.0,-95.0,91.0,-66.0,125.0,164.0,20.0,-58.0,-149.0
Free Cash Flow,,116.0,213.0,190.0,156.0,59.0,190.0,353.0,345.0,384.0,442.0,284.0,564.0
CFO/OP,,132.0,137.0,102.0,87.0,73.0,85.0,121.0,121.0,109.0,103.0,81.0,89.0
Fixed assets purchased,Cash from Investing Activity,-56.72,-66.11,-93.75,-81.06,-75.47,-35.55,-91.83,-116.41,-78.73,-67.24,-43.64,-43.28
Fixed assets sold,Cash from Investing Activity,0.31,0.15,36.21,0.0,0.0,0.0,1.66,0.09,0.12,0.25,0.12,0.24
Interest received,Cash from Investing Activity,13.77,40.05,32.12,4.15,11.1,6.52,10.82,5.18,11.93,17.84,18.12,25.48
Other investing items,Cash from Investing Activity,-59.92,180.95,39.11,0.15,-0.31,0.0,0.0,-0.9,0.01,0.0,-2.0,2.0
Interest paid fin,Cash from Financing Activity,-1.0,-1.0,-2.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Dividends paid,Cash from Financing Activity,-49.0,-65.0,-567.0,-33.0,-137.0,-81.0,-430.0,-225.0,-231.0,-440.0,-358.0,-740.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-7.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
Other financing items,Cash from Financing Activity,-8.0,-13.0,-115.0,-7.0,-28.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0
