,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,68.0,147.0,73.0,105.0,6.0,-675.0,-717.0
Cash from Investing Activity,,3.0,-26.0,-22.0,-45.0,-49.0,-424.0,-54.0
Cash from Financing Activity,,-93.0,-128.0,-46.0,-55.0,51.0,1167.0,719.0
Net Cash Flow,,-22.0,-7.0,5.0,5.0,9.0,68.0,-52.0
Free Cash Flow,,52.0,114.0,68.0,57.0,-46.0,-1109.0,-782.0
CFO/OP,,80.0,244.0,74.0,115.0,16.0,-176.0,-95.0
Profit from operations,Cash from Operating Activity,112.0,72.0,138.0,222.0,295.0,361.0,658.0
Receivables,Cash from Operating Activity,-25.0,30.0,5.0,-11.0,1.0,-13.0,-13.0
Inventory,Cash from Operating Activity,-100.0,117.0,-65.0,107.0,-362.0,-1062.0,-1635.0
Payables,Cash from Operating Activity,0.0,-34.0,96.0,-38.0,17.0,107.0,320.0
Other WC items,Cash from Operating Activity,86.0,-45.0,-91.0,-139.0,93.0,15.0,86.0
Working capital changes,Cash from Operating Activity,-39.0,68.0,-56.0,-81.0,-251.0,-953.0,-1241.0
Direct taxes,Cash from Operating Activity,-15.0,7.0,-9.0,-36.0,-38.0,-83.0,-134.0
Exceptional CF items,Cash from Operating Activity,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-15.0,-34.0,-5.0,-48.0,-52.0,-434.0,-65.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments purchased,Cash from Investing Activity,0.0,-0.0,-0.0,0.0,0.0,-8.0,0.0
Investments sold,Cash from Investing Activity,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,4.0,1.0,2.0,2.0,3.0,18.0,39.0
Other investing items,Cash from Investing Activity,5.0,7.0,-18.0,1.0,0.0,0.0,-28.0
