,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,,431.0,555.0,826.0,620.0,1000.0,1308.0,1012.0,1231.0,1790.0,2391.0,3381.0,3509.0
Cash from Investing Activity,,-500.0,-300.0,-1048.0,-746.0,-937.0,-2320.0,-472.0,-1008.0,-1769.0,-3288.0,-4311.0,-2725.0
Cash from Financing Activity,,58.0,-236.0,230.0,159.0,-84.0,1107.0,-574.0,-178.0,-18.0,985.0,2954.0,-1266.0
Net Cash Flow,,-11.0,19.0,8.0,32.0,-22.0,95.0,-33.0,46.0,4.0,88.0,2024.0,-482.0
Free Cash Flow,,211.0,290.0,45.0,103.0,191.0,575.0,476.0,416.0,40.0,-803.0,-359.0,797.0
CFO/OP,,114.0,94.0,109.0,81.0,104.0,98.0,90.0,80.0,76.0,82.0,85.0,87.0
Profit from operations,Cash from Operating Activity,397.0,645.0,820.0,873.0,1123.0,1513.0,1200.0,1624.0,2749.0,3732.0,4778.0,4969.0
Receivables,Cash from Operating Activity,-38.0,0.0,7.0,-34.0,-13.0,-32.0,-76.0,15.0,-123.0,-73.0,-133.0,-285.0
Inventory,Cash from Operating Activity,-43.0,-135.0,-39.0,45.0,-151.0,-185.0,-47.0,-519.0,-557.0,-160.0,-479.0,15.0
Payables,Cash from Operating Activity,86.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loans Advances,Cash from Operating Activity,39.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,0.0,0.0,95.0,-207.0,114.0,132.0,12.0,236.0,95.0,-440.0,-57.0,-301.0
Working capital changes,Cash from Operating Activity,44.0,-42.0,64.0,-197.0,-50.0,-85.0,-111.0,-269.0,-585.0,-673.0,-669.0,-571.0
Direct taxes,Cash from Operating Activity,-11.0,-48.0,-58.0,-57.0,-73.0,-120.0,-78.0,-124.0,-373.0,-668.0,-728.0,-888.0
Fixed assets purchased,Cash from Investing Activity,-220.0,-269.0,-792.0,-533.0,-859.0,-754.0,-560.0,-835.0,-1801.0,-3264.0,-3779.0,-2739.0
Fixed assets sold,Cash from Investing Activity,0.0,4.0,12.0,17.0,50.0,21.0,24.0,19.0,51.0,70.0,39.0,27.0
Investments purchased,Cash from Investing Activity,-302.0,-550.0,-35.0,-35.0,0.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments sold,Cash from Investing Activity,8.0,512.0,35.0,35.0,0.0,73.0,0.0,0.0,0.0,0.0,2.0,81.0
Interest received,Cash from Investing Activity,12.0,6.0,8.0,5.0,6.0,5.0,9.0,13.0,23.0,22.0,28.0,46.0
Dividends received,Cash from Investing Activity,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-22.0,-40.0,-121.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,-276.0,-212.0,0.0,-8.0,0.0,0.0,0.0,-10.0,-200.0,0.0
Other investing items,Cash from Investing Activity,0.0,-4.0,-0.0,-23.0,-134.0,-1583.0,55.0,-205.0,-42.0,-85.0,-361.0,-18.0
