,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,598.0,766.0,484.0,1005.0,892.0,1653.0
Cash from Investing Activity,,-4464.0,-1737.0,-1334.0,-416.0,-488.0,-826.0
Cash from Financing Activity,,3977.0,794.0,818.0,-422.0,-441.0,-39.0
Net Cash Flow,,110.0,-177.0,-32.0,166.0,-37.0,788.0
Free Cash Flow,,-5.0,-91.0,-461.0,294.0,233.0,776.0
CFO/OP,,52.0,98.0,107.0,97.0,85.0,202.0
Profit from operations,Cash from Operating Activity,1362.0,1228.0,975.0,1396.0,1714.0,1336.0
Receivables,Cash from Operating Activity,-515.0,-185.0,89.0,-391.0,-233.0,217.0
Inventory,Cash from Operating Activity,-89.0,-176.0,-173.0,-532.0,-197.0,-798.0
Payables,Cash from Operating Activity,146.0,79.0,-272.0,404.0,18.0,778.0
Other WC items,Cash from Operating Activity,-160.0,-11.0,53.0,285.0,-75.0,329.0
Working capital changes,Cash from Operating Activity,-620.0,-292.0,-302.0,-234.0,-488.0,527.0
Direct taxes,Cash from Operating Activity,-145.0,-169.0,-189.0,-157.0,-334.0,-210.0
Proceeds from shares,Cash from Financing Activity,3448.0,0.0,0.0,1050.0,0.0,3.0
Proceeds from borrowings,Cash from Financing Activity,2547.0,2254.0,4385.0,240.0,1113.0,1887.0
Repayment of borrowings,Cash from Financing Activity,-2812.0,-1234.0,-3186.0,-1212.0,-1065.0,-1567.0
Interest paid fin,Cash from Financing Activity,-4.0,-145.0,-278.0,-470.0,-447.0,-296.0
Dividends paid,Cash from Financing Activity,0.0,-50.0,-67.0,0.0,-14.0,-19.0
Financial liabilities,Cash from Financing Activity,-4.0,-30.0,-36.0,-17.0,-28.0,-47.0
Other financing items,Cash from Financing Activity,802.0,0.0,0.0,-14.0,0.0,0.0
