role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Ajit Gulabchand,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500185/70332500185.pdf
Managing Director,Jaspreet Bhullar,down the standard of conduct which is expected to be followed by the Directors and Senior Management in their business dea,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bbb1f5b0-ee95-47c5-b6fd-95a4b79d6f62.pdf
Managing Director,Jaspreet Singh Bhullar,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bc1ca628-6df2-4d77-92dc-ad30ac65d518.pdf
CFO,Girish Gangal,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/3720d565-e094-4d69-bbfa-cb160b3afb9c.pdf
Chairman,Mahendra Singh Mehta,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/500185/76791500185.pdf
Chairman,Santosh Janakiram,s available on the website of the Company and can be accessed by weblink https://hccindia.com/uploads/Investors/Nomination,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/500185/76791500185.pdf
Managing Director,Arjun Dhawan,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bbb1f5b0-ee95-47c5-b6fd-95a4b79d6f62.pdf
CEO,Jaspreet Bhullar,own the standard of conduct which is expected to be followed by the Directors and by the Senior Managers in their busines,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/500185/76791500185.pdf
CEO,Jaspreet Singh Bhullar,ompany Secretary. Mr. Arjun Dhawan has ceased to be Group CEO (KMP)consequent upon appointment as the Vice Chairman of th,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500185/76791500185.pdf
CEO,Rahul Rao,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bbb1f5b0-ee95-47c5-b6fd-95a4b79d6f62.pdf
CFO,Rahul Rao,"Chairman & Managing Director. (He has ceased to be KMP with effect from April 01, 2023 consequent upon his appointment",,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bbb1f5b0-ee95-47c5-b6fd-95a4b79d6f62.pdf
