role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Kapil Kumar Mehan,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/3cc866b6-0306-4800-bc74-01a805857053.pdf
Chairman,Krishna Prasad Chigurupati,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/532482/68873532482.pdf
CFO,Mukesh Surana,nology Officer Dr. Srinivas holds a distinguished Ph.D. in Organic Chemistry from Osmania,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/95313296-15df-4496-a0b4-cabf7a28c25e.pdf
Chairman,Arun Rao Akinepally,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/532482/73456532482.pdf
Chairman,Arun Sawhney,,,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/532482/68873532482.pdf
Chairman,Harsha Chigurupati,,,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/532482/68873532482.pdf
Chairman,Jyothi Prasad,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/532482/68873532482.pdf
Chairman,Saumen Chakraborty,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/532482/73456532482.pdf
Chairman,Uma Devi Chigurupati,,,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/532482/68873532482.pdf
Managing Director,KVS Ram Rao,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/261598f2-564e-4449-82ef-09d48d84a9df.pdf
CFO,"Sandip 
Neogi",,,FY2021–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/532482/68873532482.pdf
