,parent_line_item,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2025,Mar 2026
Equity Capital,,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Reserves,,174.0,217.0,258.0,280.0,290.0,316.0,1083.0,1236.0
Borrowings,,18.0,12.0,6.0,0.0,0.0,0.0,11.0,3.0
Other Liabilities,,252.0,241.0,216.0,187.0,200.0,181.0,540.0,505.0
Total Liabilities,,457.0,483.0,494.0,480.0,503.0,510.0,1647.0,1757.0
Fixed Assets,,85.0,91.0,102.0,114.0,97.0,82.0,315.0,360.0
CWIP,,4.0,2.0,0.0,27.0,30.0,30.0,21.0,7.0
Investments,,61.0,103.0,125.0,134.0,121.0,161.0,445.0,463.0
Other Assets,,307.0,288.0,266.0,205.0,255.0,237.0,866.0,928.0
Total Assets,,457.0,483.0,494.0,480.0,503.0,510.0,1647.0,1757.0
Land,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,84.0,85.0
Building,Fixed Assets,15.0,23.0,39.0,39.0,39.0,39.0,135.0,145.0
Plant Machinery,Fixed Assets,122.0,117.0,120.0,139.0,132.0,131.0,164.0,206.0
Equipments,Fixed Assets,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0
Computers,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0
Furniture n fittings,Fixed Assets,6.0,7.0,8.0,9.0,9.0,10.0,24.0,36.0
Vehicles,Fixed Assets,6.0,6.0,8.0,9.0,9.0,9.0,10.0,11.0
Intangible Assets,Fixed Assets,13.0,13.0,13.0,15.0,15.0,15.0,20.0,20.0
Other fixed assets,Fixed Assets,1.0,3.0,3.0,4.0,5.0,6.0,56.0,56.0
Gross Block,Fixed Assets,166.0,173.0,194.0,219.0,214.0,214.0,512.0,582.0
Accumulated Depreciation,Fixed Assets,81.0,82.0,92.0,105.0,117.0,132.0,196.0,222.0
Long term Borrowings,Borrowings,12.33,6.25,0.0,0.0,0.0,0.0,0.1,0.0
Short term Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,9.63,2.83
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.52
Other Borrowings,Borrowings,6.16,6.25,6.25,0.0,0.0,0.0,0.0,-0.01
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0
Trade Payables,Other Liabilities,101.0,108.0,85.0,74.0,96.0,94.0,216.0,259.0
Advance from Customers,Other Liabilities,0.0,0.0,23.0,14.0,24.0,15.0,155.0,62.0
Other liability items,Other Liabilities,151.0,133.0,108.0,99.0,80.0,73.0,157.0,173.0
Inventories,Other Assets,82.0,82.0,72.0,42.0,58.0,57.0,215.0,218.0
Trade receivables,Other Assets,144.0,135.0,132.0,110.0,144.0,119.0,480.0,523.0
Cash Equivalents,Other Assets,27.0,25.0,16.0,13.0,21.0,25.0,67.0,117.0
Loans n Advances,Other Assets,20.0,28.0,0.0,12.0,0.0,0.0,5.0,6.0
Other asset items,Other Assets,34.0,17.0,46.0,28.0,32.0,37.0,98.0,64.0
