,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,4.0,20.0,20.0,20.0,20.0,23.0,23.0,25.0,25.0,26.0,26.0,26.0
Reserves,,19.0,8.0,22.0,30.0,50.0,133.0,160.0,414.0,458.0,734.0,763.0,790.0
Borrowings,,24.0,26.0,69.0,82.0,120.0,137.0,222.0,229.0,370.0,409.0,597.0,1395.0
Other Liabilities,,21.0,26.0,41.0,48.0,56.0,61.0,87.0,131.0,202.0,292.0,361.0,691.0
Total Liabilities,,69.0,80.0,152.0,180.0,246.0,355.0,492.0,799.0,1054.0,1461.0,1747.0,2902.0
Fixed Assets,,13.0,17.0,56.0,67.0,83.0,111.0,127.0,285.0,347.0,496.0,404.0,475.0
CWIP,,0.0,1.0,1.0,1.0,0.0,3.0,115.0,11.0,36.0,109.0,156.0,857.0
Investments,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,82.0,77.0,0.0,0.0,0.0
Other Assets,,55.0,62.0,94.0,112.0,163.0,241.0,250.0,422.0,594.0,856.0,1187.0,1570.0
Total Assets,,69.0,80.0,152.0,180.0,246.0,355.0,492.0,799.0,1054.0,1461.0,1747.0,2902.0
Land,Fixed Assets,0.0,3.0,31.0,36.0,37.0,37.0,37.0,37.0,37.0,138.0,140.0,140.0
Building,Fixed Assets,6.0,6.0,11.0,0.0,9.0,16.0,18.0,65.0,78.0,84.0,81.0,106.0
Plant Machinery,Fixed Assets,7.0,8.0,13.0,18.0,29.0,42.0,61.0,167.0,217.0,262.0,180.0,237.0
Equipments,Fixed Assets,1.0,1.0,3.0,9.0,2.0,4.0,4.0,12.0,14.0,16.0,24.0,26.0
Computers,Fixed Assets,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,9.0
Furniture n fittings,Fixed Assets,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,16.0,18.0
Vehicles,Fixed Assets,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Other fixed assets,Fixed Assets,0.0,0.0,0.0,6.0,8.0,17.0,18.0,26.0,35.0,50.0,28.0,29.0
Gross Block,Fixed Assets,14.0,20.0,60.0,69.0,88.0,120.0,144.0,313.0,390.0,561.0,475.0,568.0
Accumulated Depreciation,Fixed Assets,1.0,2.0,3.0,2.0,5.0,10.0,17.0,28.0,42.0,65.0,71.0,93.0
Long term Borrowings,Borrowings,,,,38.0,51.0,30.0,116.0,122.0,129.0,124.0,170.0,819.0
Short term Borrowings,Borrowings,,,,41.0,65.0,102.0,86.0,103.0,233.0,269.0,396.0,511.0
Lease Liabilities,Borrowings,,,,0.0,0.0,0.0,6.0,4.0,7.0,15.0,31.0,65.0
Preference Capital,Borrowings,0.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,24.0,26.0,69.0,-11.0,-8.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,16.0,22.0,31.0,37.0,43.0,36.0,66.0,99.0,157.0,145.0,263.0,442.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,24.0
Other liability items,Other Liabilities,5.0,5.0,10.0,11.0,13.0,26.0,21.0,33.0,45.0,142.0,82.0,224.0
Inventories,Other Assets,24.0,32.0,40.0,50.0,72.0,130.0,114.0,195.0,293.0,382.0,309.0,568.0
Trade receivables,Other Assets,18.0,16.0,32.0,41.0,61.0,75.0,79.0,110.0,177.0,282.0,200.0,380.0
Cash Equivalents,Other Assets,2.0,2.0,3.0,2.0,2.0,1.0,1.0,45.0,21.0,12.0,5.0,5.0
Loans n Advances,Other Assets,1.0,1.0,1.0,1.0,4.0,4.0,5.0,10.0,34.0,8.0,14.0,42.0
Other asset items,Other Assets,10.0,11.0,18.0,17.0,24.0,30.0,51.0,63.0,69.0,171.0,658.0,574.0
