,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,143.0,143.0,143.0,143.0,143.0,158.0,158.0,158.0,158.0
Reserves,,3262.0,3476.0,3837.0,4437.0,5193.0,6770.0,7763.0,8850.0,9952.0
Deposits,,32428.0,35136.0,36825.0,40970.0,44933.0,47766.0,49515.0,53689.0,61712.0
Borrowing,,513.0,0.0,324.0,0.0,0.0,525.0,1301.0,500.0,700.0
Other Liabilities,,1522.0,1719.0,1604.0,1948.0,2559.0,2646.0,2815.0,3252.0,2777.0
Total Liabilities,,37868.0,40473.0,42733.0,47499.0,52828.0,57866.0,61552.0,66450.0,75300.0
Fixed Assets,,140.0,138.0,128.0,137.0,211.0,246.0,271.0,284.0,311.0
CWIP,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,,10364.0,9107.0,9467.0,11703.0,13242.0,14156.0,15263.0,15101.0,15693.0
Other Assets,,27364.0,31228.0,33137.0,35658.0,39374.0,43464.0,46019.0,51065.0,59296.0
Total Assets,,37868.0,40473.0,42733.0,47499.0,52828.0,57866.0,61552.0,66450.0,75300.0
Building,Fixed Assets,69.77,72.43,74.2,74.2,74.25,80.78,90.9,92.88,
Other fixed assets,Fixed Assets,379.67,410.66,429.04,466.33,573.12,655.32,745.7,843.46,
Gross Block,Fixed Assets,449.44,483.09,503.24,540.53,647.37,736.1,836.6,936.34,
Accumulated Depreciation,Fixed Assets,309.15,344.71,374.79,403.35,436.54,490.45,565.62,651.86,
Trade Payables,Other Liabilities,163.0,165.0,136.0,268.0,370.0,332.0,211.0,233.0,0.0
Other liability items,Other Liabilities,1358.0,1554.0,1468.0,1680.0,2189.0,2314.0,2604.0,3019.0,2777.0
Cash Equivalents,Other Assets,1481.0,1484.0,1211.0,1420.0,1750.0,1622.0,1731.0,2200.0,2521.0
Loans n Advances,Other Assets,684.0,805.0,549.0,760.0,1044.0,1073.0,1399.0,1785.0,53123.0
Other asset items,Other Assets,25198.0,28939.0,31377.0,33478.0,36580.0,40769.0,42889.0,47079.0,3653.0
