,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,33.0,33.0,33.0,33.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
Reserves,,461.0,440.0,437.0,416.0,385.0,394.0,440.0,496.0,573.0,674.0,829.0,1041.0
Borrowings,,57.0,28.0,45.0,69.0,61.0,68.0,52.0,71.0,0.0,0.0,12.0,18.0
Other Liabilities,,345.0,292.0,233.0,190.0,271.0,265.0,262.0,309.0,299.0,333.0,491.0,787.0
Total Liabilities,,896.0,793.0,749.0,708.0,748.0,757.0,785.0,907.0,903.0,1038.0,1364.0,1877.0
Fixed Assets,,272.0,258.0,233.0,213.0,198.0,180.0,174.0,166.0,163.0,186.0,207.0,294.0
CWIP,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,17.0,17.0
Investments,,0.0,0.0,0.0,0.0,10.0,20.0,20.0,20.0,20.0,10.0,0.0,0.0
Other Assets,,624.0,534.0,515.0,495.0,539.0,557.0,590.0,720.0,720.0,842.0,1140.0,1566.0
Total Assets,,896.0,793.0,749.0,708.0,748.0,757.0,785.0,907.0,903.0,1038.0,1364.0,1877.0
Land,Fixed Assets,26.0,26.0,28.0,28.0,28.0,18.0,20.0,20.0,16.0,16.0,16.0,16.0
Building,Fixed Assets,111.0,111.0,111.0,111.0,112.0,112.0,112.0,112.0,113.0,114.0,118.0,165.0
Plant Machinery,Fixed Assets,183.0,198.0,215.0,202.0,211.0,220.0,228.0,236.0,247.0,263.0,294.0,343.0
Equipments,Fixed Assets,20.0,19.0,3.0,19.0,19.0,19.0,20.0,21.0,21.0,21.0,22.0,22.0
Computers,Fixed Assets,6.0,6.0,5.0,6.0,7.0,7.0,8.0,9.0,9.0,11.0,14.0,17.0
Furniture n fittings,Fixed Assets,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0
Vehicles,Fixed Assets,5.0,4.0,4.0,3.0,3.0,4.0,5.0,6.0,5.0,8.0,8.0,9.0
Intangible Assets,Fixed Assets,6.0,6.0,6.0,9.0,9.0,9.0,0.0,0.0,19.0,22.0,26.0,30.0
Other fixed assets,Fixed Assets,-0.0,0.0,-0.0,-0.0,0.0,-0.0,13.0,17.0,3.0,20.0,20.0,23.0
Gross Block,Fixed Assets,360.0,374.0,375.0,382.0,391.0,394.0,409.0,423.0,438.0,480.0,522.0,631.0
Accumulated Depreciation,Fixed Assets,89.0,116.0,142.0,169.0,193.0,214.0,235.0,256.0,275.0,294.0,315.0,337.0
Short term Borrowings,Borrowings,57.35,27.64,45.34,68.6,61.39,67.67,52.0,70.97,0.0,0.0,12.21,18.1
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01
Trade Payables,Other Liabilities,167.0,145.0,130.0,119.0,168.0,144.0,108.0,151.0,131.0,140.0,231.0,412.0
Advance from Customers,Other Liabilities,81.0,40.0,48.0,17.0,34.0,43.0,50.0,47.0,57.0,74.0,127.0,187.0
Other liability items,Other Liabilities,97.0,107.0,56.0,54.0,69.0,79.0,104.0,110.0,110.0,119.0,134.0,188.0
Inventories,Other Assets,76.0,88.0,80.0,82.0,113.0,144.0,189.0,209.0,199.0,250.0,377.0,503.0
Trade receivables,Other Assets,155.0,155.0,161.0,185.0,229.0,173.0,162.0,241.0,269.0,307.0,437.0,742.0
Cash Equivalents,Other Assets,272.0,226.0,108.0,95.0,128.0,158.0,164.0,161.0,169.0,211.0,199.0,199.0
Loans n Advances,Other Assets,44.0,19.0,13.0,13.0,22.0,25.0,19.0,37.0,32.0,27.0,29.0,28.0
Other asset items,Other Assets,78.0,46.0,154.0,120.0,47.0,57.0,57.0,72.0,50.0,46.0,98.0,94.0
