,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.11,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Reserves,,-0.0,1169.0,1254.0,1457.0,1715.0,2293.0,3052.0,3931.0,5086.0,5516.0,7732.0
Borrowings,,0.0,851.0,776.0,611.0,414.0,1972.0,871.0,726.0,896.0,703.0,754.0
Other Liabilities,,0.0,1097.0,1263.0,1263.0,932.0,4349.0,4932.0,5583.0,7082.0,9640.0,12981.0
Total Liabilities,,0.0,3135.0,3312.0,3349.0,3080.0,8634.0,8874.0,10260.0,13084.0,15879.0,21487.0
Fixed Assets,,0.0,1306.0,1358.0,1429.0,1515.0,3426.0,3324.0,3588.0,4393.0,5210.0,6321.0
CWIP,,0.0,34.0,90.0,69.0,58.0,152.0,128.0,191.0,381.0,770.0,806.0
Investments,,0.0,202.0,134.0,132.0,186.0,369.0,542.0,729.0,1370.0,931.0,1024.0
Other Assets,,0.0,1593.0,1730.0,1719.0,1321.0,4687.0,4880.0,5752.0,6940.0,8969.0,13336.0
Total Assets,,0.0,3135.0,3312.0,3349.0,3080.0,8634.0,8874.0,10260.0,13084.0,15879.0,21487.0
Land,Fixed Assets,0.0,140.0,144.0,153.0,161.0,519.0,542.0,530.0,679.0,786.0,
Building,Fixed Assets,0.0,281.0,334.0,372.0,486.0,967.0,969.0,970.0,1100.0,1320.0,
Plant Machinery,Fixed Assets,0.0,826.0,951.0,1125.0,1259.0,1685.0,1863.0,1980.0,2293.0,2771.0,
Equipments,Fixed Assets,0.0,18.0,22.0,25.0,28.0,55.0,63.0,76.0,103.0,151.0,
Furniture n fittings,Fixed Assets,0.0,10.0,12.0,13.0,13.0,28.0,28.0,30.0,46.0,54.0,
Railway sidings,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Vehicles,Fixed Assets,0.0,10.0,13.0,12.0,14.0,17.0,21.0,32.0,86.0,101.0,
Intangible Assets,Fixed Assets,0.0,306.0,308.0,309.0,309.0,1010.0,1012.0,1391.0,1722.0,2096.0,2214.0
Other fixed assets,Fixed Assets,0.0,14.0,24.0,25.0,26.0,182.0,185.0,236.0,410.0,478.0,
Gross Block,Fixed Assets,0.0,1605.0,1810.0,2034.0,2297.0,4463.0,4682.0,5245.0,6440.0,7757.0,
Accumulated Depreciation,Fixed Assets,0.0,299.0,452.0,606.0,783.0,1038.0,1358.0,1657.0,2047.0,2547.0,
Long term Borrowings,Borrowings,0.0,378.0,229.0,123.0,16.0,925.0,345.0,44.0,49.0,67.0,58.0
Short term Borrowings,Borrowings,0.0,347.0,306.0,388.0,254.0,990.0,458.0,585.0,691.0,376.0,334.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,43.0,58.0,67.0,97.0,156.0,260.0,362.0
Other Borrowings,Borrowings,0.0,125.0,241.0,101.0,102.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,92.0,100.0,96.0,73.0,383.0,654.0,1005.0,1618.0,2157.0,6451.0
Trade Payables,Other Liabilities,0.0,775.0,962.0,929.0,696.0,2230.0,2343.0,2300.0,2724.0,3120.0,4035.0
Advance from Customers,Other Liabilities,0.0,17.0,23.0,21.0,28.0,647.0,808.0,249.0,371.0,493.0,
Other liability items,Other Liabilities,0.0,213.0,178.0,217.0,136.0,1088.0,1127.0,2029.0,2369.0,3871.0,2496.0
Inventories,Other Assets,0.0,731.0,761.0,815.0,559.0,1106.0,1327.0,1353.0,1788.0,2224.0,2853.0
Trade receivables,Other Assets,0.0,615.0,697.0,648.0,525.0,1239.0,1785.0,2129.0,2733.0,3305.0,4367.0
Cash Equivalents,Other Assets,0.0,24.0,32.0,56.0,38.0,617.0,573.0,945.0,1227.0,2035.0,1469.0
Loans n Advances,Other Assets,0.0,37.0,40.0,43.0,52.0,247.0,105.0,29.0,28.0,43.0,1470.0
Other asset items,Other Assets,0.0,186.0,200.0,157.0,148.0,1478.0,1090.0,1295.0,1164.0,1362.0,3178.0
