,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,209.0,209.0,262.0,262.0,262.0,
Reserves,,5645.0,6465.0,8565.0,9846.0,11155.0,
Deposits,,89142.0,91650.0,101919.0,107522.0,123341.0,
Borrowing,,3294.0,6994.0,3912.0,4300.0,3927.0,
Other Liabilities,,1761.0,2379.0,2755.0,2724.0,3072.0,
Total Liabilities,,100052.0,107697.0,117412.0,124655.0,141756.0,
Fixed Assets,,752.0,754.0,821.0,1018.0,1043.0,
CWIP,,59.0,124.0,145.0,0.0,0.0,
Investments,,21445.0,24641.0,23977.0,21777.0,27327.0,
Other Assets,,77796.0,82178.0,92469.0,101860.0,113386.0,
Total Assets,,100052.0,107697.0,117412.0,124655.0,141756.0,
Building,Fixed Assets,,595.0,643.0,659.0,749.0,751.0
Other fixed assets,Fixed Assets,,822.0,825.0,932.0,1067.0,1190.0
Gross Block,Fixed Assets,,1417.0,1468.0,1591.0,1816.0,1941.0
Accumulated Depreciation,Fixed Assets,,665.0,714.0,770.0,798.0,899.0
Trade Payables,Other Liabilities,,125.0,103.0,158.0,184.0,327.0
Other liability items,Other Liabilities,,1636.0,2276.0,2597.0,2541.0,2745.0
Cash Equivalents,Other Assets,,3104.0,4122.0,4857.0,4651.0,3816.0
Loans n Advances,Other Assets,,307.0,406.0,393.0,307.0,295.0
Other asset items,Other Assets,,74385.0,77650.0,87220.0,96901.0,109276.0
