,parent_line_item,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Reserves,,1356.0,1365.0,1377.0,2087.0,2149.0,2630.0,3055.0,3383.0,3735.0,4181.0
Borrowings,,1445.0,1282.0,1199.0,108.0,7.0,24.0,22.0,21.0,42.0,79.0
Other Liabilities,,722.0,680.0,759.0,970.0,1045.0,1277.0,1238.0,1316.0,1280.0,1463.0
Total Liabilities,,3608.0,3412.0,3420.0,3250.0,3286.0,4017.0,4400.0,4805.0,5143.0,5808.0
Fixed Assets,,2573.0,2498.0,2162.0,2035.0,1989.0,1869.0,1762.0,1822.0,1925.0,2093.0
CWIP,,80.0,36.0,44.0,53.0,17.0,68.0,225.0,483.0,975.0,1343.0
Investments,,61.0,58.0,0.0,0.0,4.0,9.0,32.0,50.0,74.0,82.0
Other Assets,,895.0,821.0,1214.0,1162.0,1276.0,2071.0,2380.0,2450.0,2168.0,2291.0
Total Assets,,3608.0,3412.0,3420.0,3250.0,3286.0,4017.0,4400.0,4805.0,5143.0,5808.0
Land,Fixed Assets,20.0,20.0,22.0,21.0,38.0,36.0,36.0,36.0,78.0,85.0
Building,Fixed Assets,99.0,102.0,93.0,93.0,101.0,103.0,106.0,134.0,133.0,190.0
Plant Machinery,Fixed Assets,2614.0,2739.0,2548.0,2586.0,2677.0,2711.0,2810.0,3029.0,3290.0,3579.0
Equipments,Fixed Assets,15.0,16.0,19.0,18.0,17.0,17.0,20.0,22.0,22.0,22.0
Furniture n fittings,Fixed Assets,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,6.0,17.0
Vehicles,Fixed Assets,1.0,1.0,1.0,2.0,5.0,6.0,20.0,23.0,27.0,61.0
Intangible Assets,Fixed Assets,5.0,5.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0
Other fixed assets,Fixed Assets,3.0,3.0,3.0,2.0,3.0,15.0,16.0,16.0,16.0,17.0
Gross Block,Fixed Assets,2762.0,2891.0,2690.0,2728.0,2846.0,2902.0,3020.0,3273.0,3581.0,3980.0
Accumulated Depreciation,Fixed Assets,189.0,394.0,528.0,693.0,857.0,1034.0,1258.0,1452.0,1656.0,1887.0
Long term Borrowings,Borrowings,990.0,776.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,100.0,150.0,240.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,7.0,24.0,22.0,21.0,42.0,79.0
Other Borrowings,Borrowings,356.0,356.0,543.0,100.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
Trade Payables,Other Liabilities,302.0,261.0,315.0,374.0,452.0,588.0,539.0,624.0,542.0,575.0
Advance from Customers,Other Liabilities,149.0,137.0,105.0,94.0,87.0,163.0,230.0,242.0,177.0,377.0
Other liability items,Other Liabilities,271.0,282.0,339.0,501.0,507.0,527.0,469.0,449.0,562.0,511.0
Inventories,Other Assets,69.0,68.0,71.0,65.0,69.0,69.0,77.0,85.0,107.0,123.0
Trade receivables,Other Assets,357.0,353.0,365.0,383.0,407.0,423.0,401.0,481.0,385.0,508.0
Cash Equivalents,Other Assets,106.0,39.0,125.0,241.0,326.0,988.0,1191.0,980.0,147.0,112.0
Loans n Advances,Other Assets,42.0,49.0,55.0,39.0,38.0,128.0,97.0,110.0,44.0,113.0
Other asset items,Other Assets,320.0,312.0,598.0,433.0,437.0,462.0,613.0,794.0,1485.0,1434.0
