year,inr_per_usd,nifty50,nifty_midcap,nifty_smallcap,nifty50_median,midcap_median,smallcap_median,fii_total_usd_mn,fii_nifty50_usd_mn,fii_midcap_usd_mn,fii_smallcap_usd_mn
2001,,,,,11.084550857543944,7.0788893699646,6.0399839878082275,2161.522373165924,1685.9874510694208,324.2283559748886,151.30656612161468
2002,,,,,15.097240447998047,9.745443344116211,6.256478309631348,1660.0687420371078,1294.853618788944,249.01031130556615,116.20481194259756
2003,45.52999877929688,,,2432.739990234375,29.670827865600586,27.982362747192383,20.51858901977539,542.3817948759608,423.0578000032495,81.35726923139413,37.96672564131726
2004,43.30799865722656,,,3431.830078125,41.24489974975586,36.0621337890625,22.37040138244629,8828.729031362243,6886.40864446255,1324.3093547043366,618.0110321953571
2005,44.970001220703125,,4030.449951171875,5943.10986328125,64.55274200439453,38.75053024291992,24.338972091674805,10027.84096413906,7821.715952028468,1504.176144620859,701.9488674897343
2006,44.040000915527344,,5199.75,6892.31982421875,87.90737915039062,61.07659149169922,23.88515853881836,10799.902571924842,8423.924006101377,1619.9853857887263,755.993180034739
2007,39.244998931884766,6138.60009765625,9199.849609375,13348.3701171875,137.4338150024414,103.25317764282227,73.56735610961914,6128.531435903417,4780.254520004666,919.2797153855125,428.99720051323925
2008,48.06499862670898,2959.14990234375,3735.60009765625,3683.110107421875,57.935476303100586,36.31758499145508,21.351141929626465,12309.01845288455,9601.034393249949,1846.3527679326824,861.6312917019185
2009,46.400001525878906,5201.0498046875,7432.7998046875,8357.6201171875,133.67798614501953,96.91361236572266,42.388160705566406,-9870.442767345168,-7698.945358529231,-1480.5664151017752,-690.9309937141618
2010,44.810001373291016,6134.5,8857.2001953125,9670.3095703125,159.9541015625,125.71383666992188,57.40206336975098,24144.316789734523,18832.56709599293,3621.647518460178,1690.1021752814167
2011,53.0,4624.2998046875,6111.85009765625,5550.14013671875,111.2096176147461,73.3427619934082,38.10747528076172,23642.21400515947,18440.926924024385,3546.33210077392,1654.954980361163
2012,54.75299835205078,5905.10009765625,8505.099609375,7379.93994140625,175.7777862548828,113.28444290161131,52.3758430480957,8194.498989364012,6391.70921170393,1229.1748484046018,573.6149292554809
2013,61.77999877929688,6304.0,8071.2998046875,6551.1298828125,189.69021606445312,115.21016693115234,43.58184242248535,23931.117440116348,18666.271603290752,3589.667616017452,1675.1782208081445
2014,63.37799835205078,8282.7001953125,12583.849609375,11087.0703125,289.0150451660156,178.5962905883789,67.60406875610352,13068.013884097074,10193.050829595719,1960.202082614561,914.7609718867952
2015,66.45500183105469,7946.35009765625,13396.7001953125,11836.7099609375,252.85721588134766,189.79882812499997,84.08614349365234,17366.61427065699,13545.959131112453,2604.9921405985488,1215.6629989459896
2016,67.93299865722656,8185.7998046875,14351.4501953125,12046.1298828125,273.9003143310547,224.54397583007807,96.6107292175293,-2110.209486576355,-1645.9633995295571,-316.53142298645326,-147.7146640603449
2017,64.06199645996094,10530.7001953125,21133.5,19230.720703125,397.0832214355469,308.6133728027344,151.45391845703125,8560.956280375423,6677.545898692831,1284.1434420563135,599.2669396262797
2018,69.92250061035156,10862.5498046875,17875.5,14706.6904296875,446.1312255859375,289.44677734375,120.0814208984375,3749.144527930889,2924.3327317860935,562.3716791896334,262.44011695516224
2019,71.31099700927734,12168.4501953125,17102.5,13343.6796875,522.3421630859375,313.98680114746094,130.92483520507812,-12.465594425946056,-9.723163652237924,-1.8698391638919083,-0.8725916098162241
2020,73.13400268554688,13981.75,20842.5,18098.109375,680.2142333984375,386.0514678955078,175.9700698852539,829.783882264146,647.2314281660339,124.46758233962188,58.08487175849022
2021,74.43119812011719,17354.05078125,30442.900390625,29457.759765625,807.3429260253906,543.4189147949219,263.4505310058594,37063.85174450185,28909.804360711445,5559.5777616752775,2594.46962211513
2022,82.83509826660156,18105.30078125,31509.099609375,28926.7890625,913.8609313964844,536.7025451660156,305.7303771972656,-17817.650379566287,-13897.767296061704,-2672.6475569349427,-1247.2355265696401
2023,82.302001953125,21731.400390625,46181.6484375,42673.76171875,1145.48876953125,789.9192810058594,537.5149230957031,-4557.488874102998,-3554.841321800339,-683.6233311154497,-319.0242211872099
2024,85.7865982055664,23644.80078125,57199.44921875,46908.16015625,1271.83642578125,1114.2401123046875,732.643310546875,24888.80798940841,19413.270231738563,3733.3211984112613,1742.2165592585889
2025,89.76940155029297,26129.599609375,60484.5,,1406.3500366210938,1169.834716796875,546.3249816894531,3671.037225021332,2863.409035516639,550.6555837531997,256.97260575149323
2026,95.18000030517578,23889.25,61329.6015625,,1281.9000244140625,1021.5,572.4499816894531,,,,
