nse_symbol,company_name,industry,series,isin
360ONE,360 ONE WAM Ltd.,Financial Services,EQ,INE466L01038
3MINDIA,3M India Ltd.,Diversified,EQ,INE470A01017
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,EQ,INE883F01010
AARTIDRUGS,Aarti Drugs Ltd.,Healthcare,EQ,INE767A01016
AARTIIND,Aarti Industries Ltd.,Chemicals,EQ,INE769A01020
AARTIPHARM,Aarti Pharmalabs Ltd.,Healthcare,EQ,INE0LRU01027
AAVAS,Aavas Financiers Ltd.,Financial Services,EQ,INE216P01012
ABB,ABB India Ltd.,Capital Goods,EQ,INE117A01022
ABBOTINDIA,Abbott India Ltd.,Healthcare,EQ,INE358A01014
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,EQ,INE674K01013
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,EQ,INE552Z01027
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,EQ,INE647O01011
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,EQ,INE14LE01019
ABREL,Aditya Birla Real Estate Ltd.,Realty,EQ,INE055A01016
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,EQ,INE404A01024
ACC,ACC Ltd.,Construction Materials,EQ,INE012A01025
ACE,Action Construction Equipment Ltd.,Capital Goods,EQ,INE731H01025
ACI,Archean Chemical Industries Ltd.,Chemicals,EQ,INE128X01021
ACMESOLAR,ACME Solar Holdings Ltd.,Power,EQ,INE622W01025
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,EQ,INE00FF01025
ADANIENSOL,Adani Energy Solutions Ltd.,Power,EQ,INE931S01010
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,EQ,INE423A01024
ADANIGREEN,Adani Green Energy Ltd.,Power,EQ,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,EQ,INE742F01042
ADANIPOWER,Adani Power Ltd.,Power,EQ,INE814H01029
ADVENZYMES,Advanced Enzyme Tech Ltd.,Healthcare,EQ,INE837H01020
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,EQ,INE208C01025
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,EQ,INE0INX01018
AEQUS,Aequs Ltd.,Capital Goods,EQ,INE947N01017
AETHER,Aether Industries Ltd.,Chemicals,EQ,INE0BWX01014
AFCONS,Afcons Infrastructure Ltd.,Construction,EQ,INE101I01011
AFFLE,Affle 3i Ltd.,Information Technology,EQ,INE00WC01027
AGARWALEYE,Dr. Agarwal's Health Care Ltd.,Healthcare,EQ,INE943P01029
AHLUCONT,Ahluwalia Contracts (India) Ltd.,Construction,EQ,INE758C01029
AIAENG,AIA Engineering Ltd.,Capital Goods,EQ,INE212H01026
